year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,Cppcp,V37,V47,Cpplp,V57,V71,V72,V73,V79,V85,V86,V91
2003,50210,5081,0,905,0,0,45066,63,375,375,376,0,0,0,49835,8615,1863,6752,4275,4186,1142,3045
2004,51844,5294,0,759,0,634,45913,4,455,455,455,0,0,0,51390,8534,1823,6711,4690,4250,1270,2980
2005,51622,6694,0,884,0,862,44062,4,924,924,923,0,0,0,50698,8633,1857,6775,5106,5273,1593,3680
2006,50996,6874,5750,875,0,851,43258,13,445,445,445,0,0,0,50551,8961,1719,7242,5483,5386,1593,3793
2007,49059,8494,7436,959,0,0,40566,0,583,583,583,0,0,0,48476,9163,1711,7452,5898,5636,1653,3983
2008,46625,8499,7108,1001,0,1059,37068,0,879,879,879,0,0,0,45746,8820,1649,7171,6009,6282,1849,4433
2009,146596,8900,8385,393,0,1115,68,0,37355,4517,4517,0,0,32838,109241,9931,2525,7406,6068,5660,5637,23
2010,36313,10346,7817,501,0,0,507,0,593,581,581,0,0,12,0,9347,1736,7612,6010,6310,1864,4446
2011,216241,9932,8890,515,0,0,704,0,54960,393,392,0,0,54568,161281,8855,1514,7341,22682,22642,6795,15847
2012,169429,10117,4353,261,0,0,688,0,43997,1305,1304,0,0,42692,125432,8681,2429,6252,14002,13808,4281,9528
2013,173447,6735,6394,246,0,0,644,0,44817,880,880,0,0,43937,128630,7175,1938,5237,13362,13511,3980,9531
2014,210193,3025,1893,1057,0,0,0,0,50136,840,389,0,0,49296,160057,5591,1891,3699,44954,45067,6796,38271
