year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1995,1609014,420861,122030,0,29334,0,1187985,0,414233,287504,34200,74839,0,28845,0,0,0,17866,0,1133335,1125944,795002,330942,143604,194871,51772,143099
2,1996,1588371,347110,119865,0,0,0,1190575,0,336170,218991,0,64324,0,29581,0,0,0,0,0,1132747,451086,337616,113471,68845,103598,28249,75348
3,1997,1722005,374996,123452,170890,0,0,1288852,0,359373,244184,88669,118383,0,28859,0,0,0,0,0,1194918,1266276,945320,320955,197113,295638,87208,202587
4,1998,1751504,261231,30518,0,8807,0,1430510,0,599097,356442,0,198793,0,25121,6330,0,0,214516,0,1152407,1216862,879598,337264,225192,292008,89092,198370
5,1999,1814333,326497,23616,0,7347,0,1429387,0,719483,468496,0,292667,0,78833,92672,0,0,0,0,1094851,1228770,878534,350235,246945,308990,98165,206951
6,2000,1906907,341825,72346,183063,5325,0,1501887,0,787289,407035,127922,232495,0,0,166475,0,0,0,0,1119618,1327561,956041,371520,256242,309941,104180,201528
7,2001,2052795,309287,28641,211873,4665,0,1589216,12154,1023015,440371,98885,138600,25015,142764,289427,0,0,293217,0,1029780,1454598,1035322,419276,316949,399180,35414,270245
8,2002,2038523,273830,24177,210087,13654,0,1634125,11140,1088795,299564,106401,88088,8931,81307,422710,0,0,0,0,949728,1470426,1040999,429427,315530,373441,117839,246026
9,2003,2195718,376371,112421,226246,13952,0,1700718,9677,1108960,299958,116722,97126,481,0,419817,0,0,0,0,1086758,1496031,1074787,421244,313637,339021,92059,234763
10,2004,2112414,273548,0,208555,13549,57834,1732855,8302,1257690,266196,97002,74768,0,0,578107,0,0,0,413387,854724,1508190,1095914,412276,312050,347069,97413,236826
11,2005,2528291,297404,0,229154,16833,60145,2135840,5758,1474553,291871,119162,112242,47,0,672049,0,0,0,510634,1053738,1477843,1106239,371603,270403,284789,64459,209023
12,2006,2503452,289595,0,225388,18654,72246,2110961,3606,1545330,491744,102216,94715,391,0,576318,0,0,0,477268,958122,1576135,1184778,391358,288765,269125,77889,177572
13,2007,2549968,364498,76643,230293,23043,80331,2093280,2597,1540162,505187,226004,58238,496,185547,588455,0,0,0,446520,1009806,1633118,1195224,437894,332949,303471,87443,200687
14,2008,2402951,302702,37344,225651,18871,81912,2009616,1901,1376408,398660,122600,73305,216,161926,577123,0,2763,0,397861,1026544,1571758,1100757,471001,374862,327416,93757,217210
15,2009,2292160,296262,16455,240671,24956,85673,1900930,1086,1276478,440393,101872,73630,31,208179,478404,0,7722,0,348746,1015682,1528733,1059861,468872,387974,350976,101353,231843
16,2010,2533045,309719,9183,257078,23102,92216,2121385,1150,1351589,462325,113461,95123,13,186034,508572,0,14860,0,364539,1181456,1824033,1240296,583737,494664,468674,133684,311537
17,2011,2493114,307700,9042,259035,22624,89452,2086945,889,1250839,364107,122414,103670,1,86153,562002,0,24979,0,299752,0,1802582,1215624,586958,480479,446602,136903,309698
18,2012,2594420,323496,12608,265757,21985,105389,2148659,639,1261744,423155,156998,82982,3,118310,502363,0,35484,0,299429,1332676,1816359,1253967,562393,451844,427103,129852,297251
19,2013,2969833,360934,21069,303835,16554,120226,2470225,748,1516173,459470,178071,78301,30,140283,717668,0,40704,0,296930,1453660,2101549,1481558,619992,486504,460652,146067,314585
20,2014,3489667,392571,9263,341186,21599,0,2941968,473,1862773,615592,186288,111503,66,303803,867189,0,35454,0,342874,1626894,2191133,1613827,577306,482899,459246,139751,319495
