year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,106094,26754,723,0,125,0,63466,0,84007,42145,0,9065,0,6447,0,0,0,0,0,22088,49419,1231,48188,7255,5331,1719,3310
2,1993,323522,106022,6865,47814,1414,0,74264,0,84952,76924,0,14850,0,43690,0,0,0,0,0,238570,76922,22097,54824,17005,12243,3510,6811
3,1994,508703,61654,3656,0,6933,0,198263,0,261086,81416,0,8943,0,29348,0,0,0,0,0,247617,96393,37552,58841,19076,13893,4210,7576
4,1995,619174,81093,3732,34125,10080,0,248675,0,361235,95308,0,15369,0,24156,0,0,0,0,0,257939,149303,66521,82782,30392,18503,5306,10392
5,1996,539436,79658,10068,39303,14581,0,246127,0,472104,312840,0,23629,0,27730,0,0,0,0,0,67331,185898,111547,74350,-14331,-190354,0,-190461
6,1997,910863,173402,3380,0,15344,0,398272,0,803946,744170,134869,55620,0,520780,0,0,0,0,0,106917,320162,143320,176842,-56554,-126109,0,-126109
7,1998,1741016,635047,161824,0,50922,0,749145,0,1896756,1869063,0,482964,0,1003453,0,0,0,0,0,-155740,658822,238312,420509,44535,-346408,0,-346408
8,1999,1654155,329707,15987,174405,29407,0,908112,341769,1038511,974080,158621,66102,0,726237,7931,0,0,0,0,615644,677892,0,677892,-7525,-122719,47578,-188373
9,2000,1706259,330004,42728,0,52047,0,1031046,0,1201290,242189,0,59270,0,54406,0,0,0,0,0,504970,608275,493823,114451,-181988,-289399,15806,-305205
10,2001,1507749,194841,10912,119879,32242,0,978182,332911,1206491,248600,127421,66228,404,54546,957891,0,0,0,0,301259,148180,119403,28777,-30227,-47095,0,-47095
11,2002,1369551,235217,70658,103743,34038,0,819476,312825,1174967,213866,26367,133255,0,54244,961101,0,0,0,0,194584,679632,525713,153920,-72103,-106789,0,-106789
12,2003,380055,66611,0,29174,13342,387,221587,0,337895,64018,9876,33805,0,0,268009,0,0,0,0,42159,198446,155432,43014,-12204,-22841,0,-22841
13,2004,274435,45679,0,20198,10476,347,169948,0,292060,290965,16200,18348,0,0,1095,0,0,0,0,-17625,192191,180971,11219,-46264,-62726,0,-62726
14,2005,2784118,800695,0,207108,108502,982,1556691,196079,1666483,1393277,421705,118157,86879,0,229815,0,0,0,43391,1117634,1852996,0,1852996,26078,-24858,16318,-47130
15,2006,3029666,1275902,317451,213909,200650,898,1300687,173958,1979984,1385135,599291,230425,83841,467181,503009,0,0,0,0,1049682,2235453,0,2235453,32490,151,37876,-51752
16,2007,2867518,773947,150481,241844,203015,848,1472540,149171,1928144,1333043,774725,211954,174467,171897,511708,0,0,0,0,939375,2964034,0,2964034,283640,254143,97783,119131
17,2008,3246897,1057719,133255,368273,375934,0,1670726,135806,2085658,1442993,899625,348152,0,195216,560885,0,0,0,0,1161239,3500088,0,3500088,934875,889053,248469,549161
18,2009,3497322,919637,170355,350013,206707,0,2009902,146091,2486633,1646430,1001497,204310,0,145232,764712,0,0,0,0,1010689,3961176,0,3961176,1268559,1203204,340940,735693
19,2010,3601380,990758,206174,374646,297892,0,2036027,183595,2623840,1888775,1095550,211420,0,419479,596731,0,0,0,0,0,4030807,0,4030807,1159618,1113149,364148,749001
20,2011,3868579,1178830,293651,531859,235267,0,1965388,160555,2752469,1833829,1219751,318685,0,268607,727435,0,0,0,0,1116110,4285919,0,4285919,1015356,957845,309254,648590
21,2012,4080478,1363192,399400,562065,207946,0,2040041,135834,2698816,1899731,1242134,375957,0,224068,560231,0,0,0,0,1381662,4847674,0,4847674,1188023,1119271,375550,743721
22,2013,4887889,1652677,427510,671187,339325,0,2219711,550094,2973129,2304264,1691045,192349,0,240862,437849,0,0,0,0,1914760,5336534,0,5336534,1144998,1098206,369491,728715
