year,V2,V3,V5,V7,V10,V19,V26,V27,V34,V35,V38,V39,V40,V37,V47,V48,V49,V50,V51,V57,V71,V72,V73,V79,V85,V86,V91
1,1992,67600,18030,0,0,11425,0,48436,0,46980,25693,0,10461,0,3336,0,0,0,0,0,20620,79048,81976,-2928,-11410,-12450,921,-13371
2,1993,45392,10988,49,0,6066,0,32583,0,38139,21647,0,8777,0,2558,0,0,0,0,0,7252,43313,52442,-9129,-15071,-14436,590,15027
3,1994,41311,8700,29,0,6437,0,30995,0,30960,16324,0,7946,0,362,0,0,0,0,0,10351,59365,48903,10462,17319,3208,515,2693
4,1995,49488,19563,155,0,11681,0,28310,0,29256,14779,0,4198,0,567,0,0,0,0,0,20232,70218,51598,18620,11931,10368,484,9884
5,1996,63728,20211,1472,0,7173,0,33610,0,17340,11055,0,7442,0,0,0,0,0,0,0,46388,87178,65321,21857,14351,13973,670,13303
6,1997,765628,30240,4761,0,11914,0,34577,0,169486,163697,3385,25016,0,133248,0,0,0,0,0,596142,98886,61265,37621,27471,37141,383,36367
7,1998,859206,78120,3233,0,26505,0,169995,0,249405,218677,0,28017,0,158385,9955,0,0,4840,0,609801,297515,208869,88646,51205,13204,4840,8365
8,1999,1268004,113589,3070,0,41728,0,194609,0,498699,446078,0,134276,0,270700,28627,0,0,0,0,769305,371865,266412,105453,52935,56047,10664,45383
9,2000,2159022,367612,7088,0,146338,0,370674,0,867505,386355,76876,99385,13002,38590,431595,0,0,49555,0,1291518,760833,430329,330504,138621,130856,14533,112141
10,2001,2067370,330914,9012,88678,114131,0,389385,1299792,1070283,545444,120859,99700,36142,157242,417758,0,0,0,0,997086,689836,479347,210490,-2774,-37300,-2221,-48612
11,2002,2070504,209866,4118,54543,48081,0,418265,1210845,1138036,476377,172904,89426,60419,92065,500788,0,0,0,0,932467,621862,430576,191286,-29458,-70884,-4509,-55621
12,2003,2066138,174893,0,60975,48431,179222,421108,1204401,1156678,482867,68002,167064,32423,0,489164,0,0,0,184647,909460,588448,424837,163611,-25445,-25594,-1711,-32248
13,2004,2216146,300018,0,64465,103563,196181,468741,1200814,1221261,407226,77041,129709,35178,0,622961,0,0,0,191074,994885,789959,454117,335842,86023,149929,39950,90691
14,2005,2175107,252461,0,84830,68964,247035,462044,1173199,3874237,1683410,127988,69167,34500,0,453142,0,0,0,185397,1045921,998257,580180,418076,139479,99776,16872,75200
15,2006,3195673,874594,410378,323351,101140,534523,587424,1185219,1270765,903722,114206,97309,200454,82165,0,0,0,0,182461,1924908,2190946,819156,1371789,1133470,1315653,307988,918393
16,2007,3266715,768097,248954,312004,141863,772346,647024,1066116,819700,647774,157376,338640,143754,6206,4398,0,0,0,167527,2447015,2804938,864170,1940768,1613991,1913302,441327,1344258
17,2008,4849857,1887425,593772,102739,219772,830099,780916,1341570,1859876,779782,180417,146576,268748,109087,554099,0,0,0,457895,2989981,1543746,983719,560027,441686,806608,176228,579302
18,2009,4097074,974820,346071,233989,198403,902473,780020,1423252,1218711,750906,120744,195760,278475,155926,115582,0,0,0,271983,2878363,1533241,863139,670102,434767,839352,227012,546538
19,2010,4332141,1139725,298197,317190,175062,1055526,742926,1377617,1404875,1059920,196277,186262,482558,100694,15703,0,0,0,271004,0,1846921,937339,909582,717116,996062,188758,748269
20,2011,4965697,1173653,157999,203743,75483,0,461533,750541,1366564,1161757,215053,285263,545799,115642,30221,0,0,0,139271,3599133,1817276,889715,927560,745795,1205930,198986,1006944
21,2012,6040638,2791689,1344192,189451,120483,0,570722,638815,2599156,797065,244507,141645,27192,230107,1594947,0,18456,0,141655,3441482,1661019,1137599,523420,390768,444294,143051,301243
22,2013,7592698,3867065,373400,263181,111253,50210,708522,866164,3298151,1253489,332293,205575,192540,523081,1722310,0,0,0,129694,4294547,2077147,1669460,407687,275715,579837,104298,475539
